mRNA,max,min
OCA2,3.4519100313047546,0.0
UGT8,5.437820304880685,0.05283319976294458
B3GNT6,7.998473091418112,0.0
DDI2,3.7421787201388406,0.7745867811831579
DMRTA2,3.293591197896132,0.0
KCNK9,2.328118383959432,0.0
GNAZ,4.2395355218367445,0.08243009994594909
SLC30A8,3.3842018068858106,0.0
CARNS1,4.308644830871919,0.026304324351908492
ATP2B3,0.4530170596173597,0.0
UNC5CL,6.284950843656321,0.07477942649661333
DSC1,3.820485342986379,0.0
LCN2,14.492217462307268,0.4369080517141522
PKLR,3.928976648677787,0.0
STMN2,5.201233928311801,0.0
FILIP1L,7.628691952913553,1.2063931685116038
PLXDC2,5.056522836793602,0.48336436071334954
FOXI2,1.716771456418223,0.0
NPIPB15,4.396036153108225,0.0
COL10A1,6.972977489236537,0.0
EPHA2,8.039325409997055,1.124394312155989
UCN3,10.177165486676518,0.0
WNT10A,6.09155598053874,0.0
COMTD1,7.472239990057779,0.5180314926021693
KLF5,8.66678392615296,0.9683488469201721
REEP6,7.895503789579452,0.33879520322666073
PTPRM,4.36986426923835,0.3870316095257043
MMP28,6.170375773213169,0.16530097491686477
CKB,9.177244859155069,0.35264554528092595
OTOP3,6.290886968264489,0.0
KRT8,9.920698971372394,1.0179219079972623
STX1B,1.9684594448765211,0.020911065581689963
RSPO4,5.57960859582947,0.0
GDF3,1.9004128007060888,0.0
METTL7A,6.2906271395872615,0.7828278920748941
CDCA7,6.8109443095975655,0.4441369565875916
EML6,1.4949787531966403,0.01006368334469748
SLC24A3,4.401623640797204,0.101246656683439
ASPHD1,6.212001175542786,0.038014690186715924
FGFR4,6.939397029507395,0.22354611595281831
SCG2,6.751124913708842,0.04208395867125248
NNMT,7.018004281751295,1.123864809909961
PROK1,1.6824384597344246,0.0
SYTL5,3.9786624161326207,0.0030264828898985854
HSD17B14,6.715044961377706,0.27655621838606215
PRRX1,4.657862908377772,0.06322680199698132
CD93,5.908392620773751,0.9367415737811197
SHC2,4.479463402088908,0.24792751344358552
ETV4,6.843522881590874,0.18205660901025042
TP53,5.827811404729023,0.6983073935146265
HLA-DQB2,6.8321368320239415,0.045862297908687955
NXPH4,6.973813293780137,0.0599089890186851
ABHD2,8.869216888955576,1.9471050515678745
FGFRL1,7.950616548742464,0.7562547427239061
WDR72,4.739475502350949,0.0
F2,6.138501179408683,0.0
LGI4,3.1480718081306467,0.07792657868506905
ITIH3,2.1054769446775525,0.006046630118414779
AOAH,4.318121576160832,0.2118844019403045
ARC,5.531974013530552,0.0
HOXB13,5.074325602055949,0.0
ST6GAL1,6.475167589039273,0.5234615911718711
IER3,9.326883797105074,0.9413317144373813
MARVELD1,5.997123014273261,1.185612862342351
CAMK1G,0.9602892836662538,0.0
CCDC68,4.989738491569052,0.0958569239148305
UPK2,7.025207126452638,0.0
SLC6A3,5.186449054540629,0.0
GAS6,6.0350959978967325,0.8815863162433962
DACH2,1.8076022200111088,0.0
ALCAM,6.302834468247388,0.7395889126442742
SHH,4.3910321648639785,0.0
ID4,5.733142802148806,0.3455099242513388
CHRD,2.8928572762336575,0.050188223311478174
CCN6,4.54333502509704,0.0
PPARGC1A,5.1107181935506425,0.0043216059500934675
LIMS2,5.573822875089196,0.3394794854723219
PCDH20,0.4300711279512796,0.0
DNMT3L,0.921588666484692,0.0
CYP4F22,5.525558393062479,0.0
CD70,6.5970290337405695,0.0
SMIM22,6.932873781632695,0.1048733767260183
PACSIN1,3.4169748193944023,0.003746139232894637
PCDH15,1.0366791542304479,0.0
PALMD,3.3008705104135743,0.1373723636933977
SEZ6L,4.926383769650907,0.0
FSTL5,2.1173293362891132,0.0
TGM1,8.655402636918218,0.024461530140995807
LTK,4.6189022836390645,0.013069150019521303
SERPINB13,6.535762155457671,0.0
FCGR2B,2.621477556492888,0.05547333589843156
IL1RL1,2.8367118858183433,0.003170442880128181
ALAS2,3.219400882158241,0.0
F2RL2,4.8977293098428145,0.08773438181972541
FAM83A,5.904115549426607,0.0
TRPC5,0.5878450092542776,0.0
ZSCAN10,1.9516250925498138,0.0
OBSL1,4.732876979077496,0.12181115114198661
