miRNA,max,min
hsa-mir-5003,1.9057294321982965,0.0
hsa-mir-32,8.826993432891156,1.4123187049817518
hsa-mir-454,5.542958113287449,1.202220855892855
hsa-mir-7641-2,2.389502659965346,0.0
hsa-mir-548t,1.6016679950450103,0.0
hsa-mir-543,4.2467670440976315,0.0
hsa-mir-302b,10.499450982950393,0.0
hsa-mir-5092,2.0452926822000763,0.0
hsa-mir-4685,2.0538860121095377,0.0
hsa-mir-6806,3.0280688958335116,0.0
hsa-mir-3157,2.126224891893893,0.0
hsa-mir-224,9.191063521630182,0.4926817987860642
hsa-mir-520b,10.505052522489951,0.0
hsa-mir-200a,13.748759605844896,2.3653050792872756
hsa-mir-136,7.170964929898885,1.9825365842671663
hsa-mir-517a,9.775042189846,0.0
hsa-mir-101-2,14.267065761891715,9.534403887028134
hsa-mir-4632,1.6536530286569224,0.0
hsa-mir-1283-2,6.7830328331859056,0.0
hsa-mir-641,1.826864904886648,0.0
hsa-mir-1276,2.886966410621933,0.0
hsa-mir-659,2.8601907047651083,0.0
hsa-mir-6874,1.6021584852041624,0.0
hsa-mir-744,7.972564327694881,2.317230252822792
hsa-mir-3909,2.7247415013033622,0.0
hsa-mir-6802,1.9000664999706411,0.0
hsa-mir-16-2,10.22761267177764,4.354150838871493
hsa-mir-660,8.905809100806454,2.928159565177304
hsa-mir-874,6.820491214645215,1.3792438825628504
hsa-mir-302d,8.514435850467775,0.0
hsa-mir-518f,10.580658512686263,0.0
hsa-mir-643,2.7030337917409053,0.0
hsa-mir-323b,5.601483423956207,0.0
hsa-mir-758,9.178812735228124,0.7550772842279011
hsa-mir-151a,13.034139559238122,8.565802743728181
hsa-mir-299,5.031301892744437,0.0
hsa-mir-6892,4.005110970628886,0.0
hsa-mir-190b,2.736176873634366,0.0
hsa-mir-4662a,8.061323221745845,0.0
hsa-mir-26a-1,11.55699286390553,8.423055002542887
hsa-mir-197,9.842618754015023,4.705475800665881
hsa-mir-665,2.017301237527146,0.0
hsa-mir-624,4.05710701723493,0.0
hsa-mir-1323,9.075819320671036,0.0
hsa-mir-592,6.415684785991401,0.0
hsa-mir-498,7.55583956339618,0.0
hsa-mir-20a,11.962593917388695,5.082885426398424
hsa-mir-5091,1.9000664999706411,0.0
hsa-mir-7156,2.6352011166918805,0.0
hsa-mir-6803,1.7501935734357916,0.0
hsa-mir-627,3.449179818809595,0.0
hsa-mir-340,6.237575151844709,1.6939588019085772
hsa-mir-320d-1,2.924388775879595,0.0
hsa-mir-3117,2.8590036526137386,0.0
hsa-mir-4449,4.382193354031999,0.0
hsa-mir-4714,6.6146625582742615,0.0
hsa-mir-7-1,7.911999098367117,2.1019888612435924
hsa-mir-514a-3,8.033270133842121,0.0
hsa-mir-3614,5.22332179718346,0.0
hsa-mir-3200,6.427476344498684,0.0
hsa-mir-200b,13.073087210835512,1.7290919915489673
hsa-mir-5698,2.7724545176265725,0.0
hsa-mir-885,2.8570008235638507,0.0
hsa-mir-3127,6.44036776160736,0.19523671444226154
hsa-mir-411,7.731652468902529,0.0
